Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,^DJI,^DJI,^DJI,^DJI,^DJI,,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
2024-01-02,37715.0390625,37790.078125,37495.91015625,37566.21875,350280000.0,^DJI,,,,,,,,,,
2024-01-03,37430.19140625,37629.23046875,37401.8515625,37629.23046875,322010000.0,^DJI,,,,,,,,,,
2024-01-04,37440.33984375,37716.41015625,37425.28125,37425.28125,380220000.0,^DJI,,,,,,,,,,
2024-01-05,37466.109375,37623.62109375,37323.8203125,37455.4609375,299480000.0,^DJI,,,,,,,,,,
2024-01-08,37683.01171875,37692.921875,37249.23828125,37327.37109375,362200000.0,^DJI,,,,,,,,,,
2024-01-09,37525.16015625,37552.37890625,37373.30078125,37523.55078125,289860000.0,^DJI,,,,,,,,,,
2024-01-10,37695.73046875,37740.76953125,37524.3984375,37552.91015625,279540000.0,^DJI,,,,,,,,,,
2024-01-11,37711.01953125,37801.8984375,37424.28125,37747.140625,299540000.0,^DJI,,,,,,,,,,
2024-01-12,37592.98046875,37825.26953125,37470.19140625,37818.05078125,279250000.0,^DJI,,,,,,,,,,
2024-01-16,37361.12109375,37543.1796875,37201.390625,37493.5390625,378280000.0,^DJI,,,,,,,,,,
2024-01-17,37266.671875,37371.66015625,37132.890625,37281.859375,290880000.0,^DJI,,,,,,,,,,
2024-01-18,37468.609375,37522.2890625,37122.94921875,37300.80859375,340620000.0,^DJI,,,,,,,,,,
2024-01-19,37863.80078125,37933.73046875,37451.7109375,37572.5,377650000.0,^DJI,,,,,,,,,,
2024-01-22,38001.80859375,38109.19921875,37911.609375,37919.55078125,339560000.0,^DJI,,,,,,,,,,
2024-01-23,37905.44921875,37980.73046875,37804.98828125,37959.7890625,334110000.0,^DJI,,,,,,,,,,
2024-01-24,37806.390625,38064.21875,37795.7109375,37975.37109375,336090000.0,^DJI,,,,,,,,,,
2024-01-25,38049.12890625,38057.53125,37796.46875,37862.5703125,402970000.0,^DJI,,,,,,,,,,
2024-01-26,38109.4296875,38215.30859375,37997.76953125,38006.6796875,387000000.0,^DJI,,,,,,,,,,
2024-01-29,38333.44921875,38343.9296875,38061.171875,38115.828125,312480000.0,^DJI,,,,,,,,,,
2024-01-30,38467.30859375,38497.390625,38257.80078125,38298.23046875,326640000.0,^DJI,,,,,,,,,,
2024-01-31,38150.30078125,38588.859375,38139.66015625,38426.78125,453250000.0,^DJI,,,,,,,,,,
2024-02-01,38519.83984375,38522.5,38106.83984375,38175.33984375,321830000.0,^DJI,,,,,,,,,,
2024-02-02,38654.421875,38783.62109375,38336.5703125,38448.1015625,379760000.0,^DJI,,,,,,,,,,
