Trading_Date,Time,DJIA,S&P 500,NASDAQ Composite,,,,,,,,,,,,,,,,,,NASDAQ_Composite_24h_Change_pct
11/12/2024,14:30:00,44213.87891,6089.939941,20054.43945,,,,,,,,,,,,,,,,,,1.0986
11/12/2024,15:30:00,44150.60938,6084.200195,20033.88672,,,,,,,,,,,,,,,,,,0.9026
11/12/2024,16:00:00,44148.55859,6084.189941,20034.89063,,,,,,,,,,,,,,,,,,0.8818
12/12/2024,9:30:00,44111.55078,6073.689941,19980.7832,,,,,,,,,,,,,,,,,,0.9664
12/12/2024,10:30:00,44158.32031,6077.209961,19992.92969,,,,,,,,,,,,,,,,,,1.1448
12/12/2024,11:30:00,44087.57813,6073.5,19987.06836,,,,,,,,,,,,,,,,,,1.0791
12/12/2024,12:30:00,44040.91016,6073.759766,20005.24414,,,,,,,,,,,,,,,,,,1.0758
12/12/2024,13:30:00,43923.01172,6058.279785,19938.18945,,,,,,,,,,,,,,,,,,0.9108
12/12/2024,14:30:00,43955.12891,6057.319824,19915.14453,,,,,,,,,,,,,,,,,,1.02
12/12/2024,15:30:00,43916.5,6051.700195,19905.83789,,,,,,,,,,,,,,,,,,0.8335
12/12/2024,16:00:00,43914.12109,6051.25,19902.83984,,,,,,,,,,,,,,,,,,0.8418
13/12/2024,9:30:00,43915.57813,6057.399902,19957.11523,,,,,,,,,,,,,,,,,,0.5943
13/12/2024,10:30:00,43919.48047,6043.810059,19846.54492,,,,,,,,,,,,,,,,,,0.5003
13/12/2024,11:30:00,43832.33984,6039.799805,19848.30664,,,,,,,,,,,,,,,,,,0.4263
13/12/2024,12:30:00,43870.35156,6047.52002,19892.79102,,,,,,,,,,,,,,,,,,0.6512
13/12/2024,13:30:00,43833.39844,6051.319824,19931.28516,,,,,,,,,,,,,,,,,,0.9663
13/12/2024,14:30:00,43826.46094,6050.680176,19924.65234,,,,,,,,,,,,,,,,,,1.358
13/12/2024,15:30:00,43827.94922,6050.830078,19921.83984,,,,,,,,,,,,,,,,,,1.184
13/12/2024,16:00:00,43828.05859,6051.089844,19926.7207,,,,,,,,,,,,,,,,,,1.2164
16/12/2024,9:30:00,43862.75,6072.040039,20059.30078,,,,,,,,,,,,,,,,,,0.6503
16/12/2024,10:30:00,43811.23047,6073.97998,20099.69336,,,,,,,,,,,,,,,,,,0.5415
16/12/2024,11:30:00,43784.35156,6076.02002,20125.26758,,,,,,,,,,,,,,,,,,0.5179
16/12/2024,12:30:00,43808.10938,6083.5,20176.43945,,,,,,,,,,,,,,,,,,0.6745
16/12/2024,13:30:00,43805.87891,6080.470215,20173.69922,,,,,,,,,,,,,,,,,,0.6877
16/12/2024,14:30:00,43812.53125,6083.069824,20197.41211,,,,,,,,,,,,,,,,,,0.7129
16/12/2024,15:30:00,43722.30078,6074.47998,20173.74219,,,,,,,,,,,,,,,,,,0.6981
16/12/2024,16:00:00,43717.48047,6074.080078,20173.89063,,,,,,,,,,,,,,,,,,0.6938
17/12/2024,9:30:00,43461.05078,6037.839844,20017.19141,,,,,,,,,,,,,,,,,,0.1822
17/12/2024,10:30:00,43446.57813,6049.450195,20102.25977,,,,,,,,,,,,,,,,,,0.5468
17/12/2024,11:30:00,43453.94141,6051.299805,20123.02148,,,,,,,,,,,,,,,,,,0.6802
17/12/2024,12:30:00,43386.57031,6048.169922,20108.32813,,,,,,,,,,,,,,,,,,0.5153
17/12/2024,13:30:00,43371.19141,6042.97998,20096.37891,,,,,,,,,,,,,,,,,,0.7934
17/12/2024,14:30:00,43361.67188,6037.209961,20065.16602,,,,,,,,,,,,,,,,,,0.7533
17/12/2024,15:30:00,43448.08984,6050.310059,20106.4668,,,,,,,,,,,,,,,,,,1.0079
17/12/2024,16:00:00,43449.89844,6050.609863,20109.06055,,,,,,,,,,,,,,,,,,1.0361
18/12/2024,9:30:00,43600.32813,6060.589844,20135.93555,,,,,,,,,,,,,,,,,,0.896
18/12/2024,10:30:00,43598.14063,6062.549805,20148.66797,,,,,,,,,,,,,,,,,,1.5223
18/12/2024,11:30:00,43643.58984,6063.509766,20144.0293,,,,,,,,,,,,,,,,,,1.4899
18/12/2024,12:30:00,43551.85938,6058.560059,20146.89844,,,,,,,,,,,,,,,,,,1.2774
18/12/2024,13:30:00,43185.28125,6007.450195,19949.36523,,,,,,,,,,,,,,,,,,0.0907
18/12/2024,14:30:00,42810.35938,5937.089844,19595.53906,,,,,,,,,,,,,,,,,,-1.6518
18/12/2024,15:30:00,42307.48047,5869.220215,19376.44141,,,,,,,,,,,,,,,,,,-2.7377
18/12/2024,16:00:00,42326.87109,5872.160156,19392.68945,,,,,,,,,,,,,,,,,,-2.68
19/12/2024,9:30:00,42472.35938,5892.470215,19455.15625,,,,,,,,,,,,,,,,,,-3.0118
19/12/2024,10:30:00,42603.14844,5914.569824,19567.94336,,,,,,,,,,,,,,,,,,-2.6456
19/12/2024,11:30:00,42458.94922,5885.740234,19430.77148,,,,,,,,,,,,,,,,,,-3.4509
19/12/2024,12:30:00,42582.32031,5902.359863,19490.07422,,,,,,,,,,,,,,,,,,-3.4018
19/12/2024,13:30:00,42551.07813,5898.140137,19480.84375,,,,,,,,,,,,,,,,,,-3.4344
19/12/2024,14:30:00,42501.28906,5892.200195,19468.56055,,,,,,,,,,,,,,,,,,-3.6086
19/12/2024,15:30:00,42336.33984,5866.069824,19370.02148,,,,,,,,,,,,,,,,,,-3.984
19/12/2024,16:00:00,42342.23828,5867.080078,19372.76953,,,,,,,,,,,,,,,,,,-3.9711
20/12/2024,9:30:00,42585.23047,5895.5,19447.71875,,,,,,,,,,,,,,,,,,-2.8449
20/12/2024,10:30:00,42954.17969,5948.089844,19633.13281,,,,,,,,,,,,,,,,,,-2.3337
20/12/2024,11:30:00,43199.78906,5981.339844,19758.02539,,,,,,,,,,,,,,,,,,-1.8138
20/12/2024,12:30:00,42962.39063,5947.310059,19632.06445,,,,,,,,,,,,,,,,,,-2.3685
20/12/2024,13:30:00,43036.05078,5958.069824,19684.13477,,,,,,,,,,,,,,,,,,-2.0513
20/12/2024,14:30:00,42925.75,5943.919922,19621.62305,,,,,,,,,,,,,,,,,,-2.2105
20/12/2024,15:30:00,42854.14844,5932.799805,19579.62891,,,,,,,,,,,,,,,,,,-2.6202
20/12/2024,16:00:00,42840.26172,5930.850098,19572.59961,,,,,,,,,,,,,,,,,,-2.6678
23/12/2024,9:30:00,42623.17969,5918.580078,19566.52148,,,,,,,,,,,,,,,,,,-2.8279
23/12/2024,10:30:00,42633.28906,5932.209961,19648.80078,,,,,,,,,,,,,,,,,,-2.4809
23/12/2024,11:30:00,42747.5,5946.649902,19687.57422,,,,,,,,,,,,,,,,,,-2.266
23/12/2024,12:30:00,42811.30859,5957.549805,19717.54883,,,,,,,,,,,,,,,,,,-2.1311
23/12/2024,13:30:00,42801.92969,5963.72998,19755.32227,,,,,,,,,,,,,,,,,,-0.9727
23/12/2024,14:30:00,42828.78125,5958.080078,19713.11328,,,,,,,,,,,,,,,,,,0.6
23/12/2024,15:30:00,42893.69922,5972.22998,19758.95898,,,,,,,,,,,,,,,,,,1.9741
23/12/2024,16:00:00,42906.94922,5974.069824,19764.88086,,,,,,,,,,,,,,,,,,1.9192
24/12/2024,9:30:00,43035.98047,6008.540039,19926.0918,,,,,,,,,,,,,,,,,,2.4206
24/12/2024,10:30:00,43093.46875,6018.189941,19968.88477,,,,,,,,,,,,,,,,,,2.049
24/12/2024,11:30:00,43212.82031,6027.759766,19982.58008,,,,,,,,,,,,,,,,,,2.8399
24/12/2024,16:00:00,43297.03125,6040.040039,20031.13086,,,,,,,,,,,,,,,,,,2.7761
26/12/2024,9:30:00,43221.41016,6028.689941,19994.00977,,,,,,,,,,,,,,,,,,2.6342
26/12/2024,10:30:00,43285.73047,6034.120117,20001.26758,,,,,,,,,,,,,,,,,,2.7362
26/12/2024,11:30:00,43318.58984,6040.700195,20029.93945,,,,,,,,,,,,,,,,,,3.4069
